persentase,wilayah,kepadatan,jumlah
11.17,Lampung Barat,147.65,312430
10.52,Tanggamus,228.31,662540
12.79,Lampung Selatan,498.01,1105000
13.8,Lampung Timur,295.44,1142580
10.65,Lampung Tengah,331.58,1508330
17.17,Lampung Utara,246.14,653850
11.02,Way Kanan,139.08,491110
8.04,Tulang Bawang,143.26,445170
12.89,Pesawaran,386.28,494280
9.14,Pringsewu,682.29,419590
6.73,Mesuji,108.13,237940
7.25,Tulang Bawang Barat,230.58,295480
13.49,Pesisir Barat,56.7,169750
7.77,Bandar Lampung,6542.95,1202070
7.28,Metro,2374.95,173870
